match_id,competition_key,match_date,kick_off,match_week,home_team_id,away_team_id,home_score,away_score,home_win,draw,home_loss,stadium_id,referee_id,match_status,home_goal_diff
9985275,22619991-21-22619992,2026-01-17,17:30:00,17,5842,13129,2,2,0,1,0,1313,153,available,0
9985279,22619991-21-22619992,2026-01-17,18:45:00,17,6576,4539,3,1,1,0,0,1300,154,available,2
9985281,22619991-21-22619992,2026-01-18,12:30:00,17,10422,9652,1,2,0,0,1,4,155,available,-1
9985288,22619991-21-22619992,2026-01-24,11:20:00,18,9592,4539,6,3,1,0,0,4269,156,available,3
9985290,22619991-21-22619992,2026-01-24,13:00:00,18,9576,6087,0,1,0,0,1,4218,157,available,-1
9985286,22619991-21-22619992,2026-01-24,15:45:00,18,2686,9652,0,2,0,0,1,68,9,available,-2
9985289,22619991-21-22619992,2026-01-24,17:30:00,18,9501,10341,0,6,0,0,1,3169,84,available,-6
9985291,22619991-21-22619992,2026-01-24,17:30:00,18,5842,4558,0,5,0,0,1,1313,149,available,-5
9985287,22619991-21-22619992,2026-01-24,18:00:00,18,6576,12972,1,1,0,1,0,1300,161,available,0
9985285,22619991-21-22619992,2026-01-25,12:30:00,18,10422,5675,0,3,0,0,1,4,35,available,-3
9985292,22619991-21-22619992,2026-01-25,12:30:00,18,13129,6791,1,1,0,1,0,4260,106,available,0
9985284,22619991-21-22619992,2026-01-25,16:30:00,18,29730,6652,1,3,0,0,1,1294,76,available,-2
9985296,22619991-21-22619992,2026-01-31,10:45:00,19,9652,6576,2,0,1,0,0,3169,166,available,2
9985298,22619991-21-22619992,2026-01-31,11:30:00,19,4539,9501,4,3,1,0,0,70,45,available,1
9985294,22619991-21-22619992,2026-01-31,12:10:00,19,6652,10422,3,0,1,0,0,1285,168,available,3
9985295,22619991-21-22619992,2026-01-31,12:30:00,19,5675,2686,1,0,1,0,0,1964,169,available,1
9985299,22619991-21-22619992,2026-01-31,16:00:00,19,10341,9576,3,0,1,0,0,3155,170,available,3
9985297,22619991-21-22619992,2026-02-01,10:45:00,19,12972,9592,0,1,0,0,1,3159,106,available,-1
9985300,22619991-21-22619992,2026-02-01,11:00:00,19,6087,5842,6,0,1,0,0,22715316,172,available,6
9985293,22619991-21-22619992,2026-02-01,12:30:00,19,6791,29730,3,0,1,0,0,1898,173,available,3
