stadium_id,stadium_name,city,field_type,country_name
566894,LA ALMUNIA Tenerías,La Almunia de Doña Godina,"Hierba Artificial Árbitro: FALCES CASTILLO, ALEJANDRO",
573598,HUESCA San Jorge-1,Huesca,"Hierba Artificial Árbitro: CARRASQUER FOJ, MIGUEL ANGEL",
914110,GOTOR Municipal El Convento,Gotor,"Hierba Natural Árbitro: GHERGHICEANU , FLORIN",
14,ALMUDEVAR Virgen de la Corona,Almudévar,"Hierba Natural Árbitro: NADAL AVELLANAS, ANDRES",
1115016,CALATAYUD Eduardo Marquina,Calatayud,"Hierba Artificial Árbitro: GARCIA REYES, IGNACIO",
5869331,ALMUDEVAR La Corona F8,Almudévar,"Hierba Artificial Árbitro: MONTEAGUDO SOLER, EDGAR",
6066526,HUESCA Base Aragonesa de Fútbol,Huesca,"Hierba Natural Árbitro: NADAL AVELLANAS, ANDRES",
6095066,HUESCA Base Aragonesa de Futbol-HA Campo 3,Huesca,"Hierba Artificial Árbitro: GIMENO OTAL, JOSE ANTONIO",
22715282,AREITIO 1 (HA),Vitoria-Gasteiz,Hierba Artificial,
48438529,CDM Clara Campoamor 1 (Luis Asarta),Madrid,Hierba Artificial,
30148,C.MUN. ARENAL F-11,Madrid,"CESPED ARTIFICIAL Árbitro: MULET AGUILO, ALEXANDRE",
30152,MIGUEL PONS ( Binissalem)F-11,Binissalem,"CESPED ARTIFICIAL Árbitro: VEGA MARTIN, JUAN",
130693,CAMP MUNICIPAL SANT MARTI D'ES MERCADAL,Barcelona,"CESPED ARTIFICIAL Árbitro: GOMEZ GOMEZ, MANUEL",
131259,CAMP MUNICIPAL LOS NOGALES D'ES MIGJORN GRAN,Es Migjorn Gran,"CESPED ARTIFICIAL Árbitro: RODRIGUEZ MARQUES, PEDRO MANUEL",
132657,C.MUN.ARENAL F-7,Madrid,"CESPED ARTIFICIAL Árbitro: ALCEDO COVAS, YERAY",
210376,MUN. LLUC COLOM F-11,Lluc i Son Macip,"CESPED ARTIFICIAL Árbitro: ALCEDO COVAS, YERAY",
574458,CALAMOCHA Jumaya II,Calamocha,"Hierba Natural Árbitro: EL MAZRAOUI, ILYAS",
18,ATECA San Blas,Madrid,"Hierba Natural Árbitro: MIR GIMENEZ, CARLOS",
56,CALATORAO El Romeral,El Romeral,"Hierba Artificial Árbitro: MARTINEZ MARTINEZ, GUILLERMO",
119,EL SALVADOR Quique Oribe-COL.,Madrid,"Hierba Artificial Árbitro: JULIAN OLIVAN, PABLO",
138,GARCIA TRAID,Madrid,"Hierba Artificial Árbitro: LASIERRA CASO, SEBASTIAN",
147,HUESCA San Jorge-2,Huesca,"Hierba Artificial Árbitro: AGUADO PALACIO, ELOY",
169,MORATA La Dehesilla,La Dehesilla,"Hierba Natural Árbitro: PEREZ TORRES TORRES, MIGUEL ANGEL",
195,MONREAL Huerta de San Juan,Horta de Sant Joan,"Árbitro: CUELLAR LOMA, IGNACIO",
211,OLVEGA El Moral,Ólvega,"Hierba Natural Árbitro: BALONGO ARROYO, JESUS",
321,ACTUR-C.M.F.,Zaragoza,"Hierba Artificial Árbitro: RODRIGUEZ BAILO, ALVARO",
355,RICLA-Luis Gil Val,Ricla,"Hierba Artificial Árbitro: MIR GIMENEZ, CARLOS",
356,RIVAS-San Victorian,El Pueyo de Araguás,"Hierba Natural Árbitro: MUÑOZ CHUPS, ALBERTO",
377,SANTA ISABEL-César Lainez-C.M.F.,Madrid,"Hierba Artificial Árbitro: FORTEA LAGUNA, VICTOR",
